2023-06-07 12:24:35.729214|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2023-06-07 12:24:35.731214|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (22621) x64 (AMD or Intel) Binary: 64bit
2023-06-07 12:24:35.731214|INFO    |ServerLibPriv |   |Using hardware aes
2023-06-07 12:24:35.734218|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2023-06-07 12:24:35.734218|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2023-06-07 12:24:35.735215|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2023-06-07 12:24:35.818213|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |Licensing Information
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |licensed to       : Anonymous
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |type              : No License
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |max virtualservers: 1
2023-06-07 12:24:35.827217|INFO    |Accounting    |   |max slots         : 32
2023-06-07 12:24:37.187672|INFO    |              |   |Puzzle precompute time: 1318
2023-06-07 12:24:37.187672|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2023-06-07 12:24:37.231742|INFO    |Query         |   |Using a query thread pool size of 2
2023-06-07 12:24:37.318743|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2023-06-07 12:24:37.320745|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2023-06-07 12:24:37.321742|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2023-06-07 12:24:37.322744|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2023-06-07 12:24:39.234812|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2023-06-07 14:27:18.582991|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:18.582991|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:18.582991|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:18.582991|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:19.666005|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:19.666005|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:19.666514|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:19.666514|WARNING |UDPServers    |   |UDP packet send returned error : Argomento fornito non valido
2023-06-07 14:27:20.782927|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:20.782927|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:20.782927|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:20.783928|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:21.893842|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:21.893842|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:21.893842|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
2023-06-07 14:27:21.893842|WARNING |UDPServers    |   |UDP packet send returned error : Indirizzo richiesto non valido nel proprio contesto
