2023-06-07 12:24:37.317746|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2023-06-07 13:12:10.983836|INFO    |VirtualServer |1  |servergroup 'Mod +'(id:13) was added by 'giulio'(id:3)
2023-06-07 13:12:11.012423|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:149) with values (value:45, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.013424|INFO    |VirtualServer |1  |permission 'i_client_talk_power'(id:221) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.013424|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:223) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.014936|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:176) with values (value:10, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.014936|INFO    |VirtualServer |1  |permission 'b_client_ignore_antiflood'(id:184) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.015949|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:134) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.015949|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:135) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.015949|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:136) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.016953|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_password'(id:137) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.016953|INFO    |VirtualServer |1  |permission 'b_channel_join_ignore_maxclients'(id:138) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.016953|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:139) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.017948|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:40) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.017948|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:143) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.017948|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:192) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.018947|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:193) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.018947|INFO    |VirtualServer |1  |permission 'b_client_remoteaddress_view'(id:194) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.018947|INFO    |VirtualServer |1  |permission 'i_client_serverquery_view_power'(id:195) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.019945|INFO    |VirtualServer |1  |permission 'i_client_needed_serverquery_view_power'(id:196) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.019945|INFO    |VirtualServer |1  |permission 'i_client_needed_complain_power'(id:207) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.019945|INFO    |VirtualServer |1  |permission 'i_client_needed_ban_power'(id:203) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.020950|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_server_power'(id:199) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.020950|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_channel_power'(id:201) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.020950|INFO    |VirtualServer |1  |permission 'i_group_modify_power'(id:164) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.021948|INFO    |VirtualServer |1  |permission 'i_permission_modify_power'(id:170) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.021948|INFO    |VirtualServer |1  |permission 'i_client_permission_modify_power'(id:174) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.021948|INFO    |VirtualServer |1  |permission 'i_client_needed_permission_modify_power'(id:175) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.022949|INFO    |VirtualServer |1  |permission 'b_virtualserver_connectioninfo_view'(id:26) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.022949|INFO    |VirtualServer |1  |permission 'i_channel_modify_power'(id:124) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.022949|INFO    |VirtualServer |1  |permission 'b_client_complain_list'(id:208) with values (value:1, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.023949|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_client_whisper_power'(id:32994) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.023949|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_client_needed_whisper_power'(id:32995) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.023949|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_needed_delete_power'(id:32901) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.024948|INFO    |VirtualServer |1  |permission 'i_channel_permission_modify_power'(id:85) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.024948|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_channel_needed_permission_modify_power'(id:32854) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
2023-06-07 13:12:11.025459|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_group_sort_id'(id:32919) with values (value:75, negated:0, skipchannel:0) was added by 'giulio'(id:3) to servergroup 'Mod +'(id:13)
